0,1,2,3,4
Kab. Boyolali,Penerimaan Pembiayaan Daerah,"33,98 M","282,66 M",831.86
Kab. Boyolali,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"33,98 M","282,66 M",831.86
Kab. Boyolali,Pengeluaran Pembiayaan Daerah,"23,45 M","23,42 M",99.89
Kab. Boyolali,Penyertaan Modal Daerah,"21,45 M","21,42 M",99.88
Kab. Boyolali,Pemberian Pinjaman Daerah,"2,00 M","2,00 M",100.00
Kab. Brebes,Pendapatan Daerah,"3.014,35 M","2.610,18 M",86.59
Kab. Brebes,PAD,"434,99 M","282,72 M",65.00
Kab. Brebes,Pajak Daerah,"129,18 M","98,60 M",76.33
Kab. Brebes,Retribusi Daerah,"35,35 M","20,23 M",57.24
Kab. Brebes,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"9,88 M","7,98 M",80.79
Kab. Brebes,Lain-Lain PAD yang Sah,"260,59 M","155,91 M",59.83
Kab. Brebes,TKDD *),"2.362,71 M","2.160,54 M",91.44
Kab. Brebes,Pendapatan Transfer Pemerintah Pusat,"2.362,71 M","2.160,54 M",91.44
Kab. Brebes,Pendapatan Lainnya,"216,64 M","166,92 M",77.05
Kab. Brebes,Pendapatan Transfer Antar Daerah,"203,14 M","153,68 M",75.65
Kab. Brebes,Pendapatan Hibah,"13,50 M","13,21 M",97.87
Kab. Brebes,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00 M","0,02 M",0
Kab. Brebes,Belanja Daerah,"3.193,44 M","2.762,15 M",86.49
Kab. Brebes,Belanja Pegawai,"1.148,67 M","1.017,90 M",88.62
Kab. Brebes,Belanja Pegawai,"1.148,67 M","1.017,90 M",88.62
Kab. Brebes,Belanja Barang Jasa,"925,58 M","600,58 M",64.89
Kab. Brebes,Belanja Barang dan Jasa,"925,58 M","600,58 M",64.89
Kab. Brebes,Belanja Modal,"365,86 M","410,36 M",112.16
Kab. Brebes,Belanja Modal,"365,86 M","410,36 M",112.16
Kab. Brebes,Belanja Lainnya,"753,33 M","733,31 M",97.34
Kab. Brebes,Belanja Hibah,"75,51 M","69,33 M",91.82
Kab. Brebes,Belanja Bantuan Sosial,"8,31 M","7,39 M",88.93
Kab. Brebes,Belanja Tidak Terduga,"30,20 M","3,94 M",13.05
Kab. Brebes,Belanja Bagi Hasil,"16,10 M","15,30 M",95.02
Kab. Brebes,Belanja Bantuan Keuangan,"623,21 M","637,35 M",102.27
Kab. Brebes,Surplus/(Defisit),"-179,09 M","-151,97 M",84.85
Kab. Brebes,Pembiayaan Daerah,"179,09 M","172,30 M",96.21
Kab. Brebes,Penerimaan Pembiayaan Daerah,"197,59 M","185,80 M",94.03
Kab. Brebes,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"197,58 M","185,80 M",94.04
Kab. Brebes,Penerimaan Kembali Pemberian Pinjaman Daerah,"0,01 M","0,00 M",0.00
